A1_SAUVEGARDES,"Vos sauvegardes, contenant élèves, positions et affinités, devraient être :[ul]Sous Windows dans [color=#FFA726][url]%APPDATA%\\Clan de place[/url][/color],[/ul][ul]Sous Linux dans [color=#FFA726][url]~/.local/share/Clan de place[/url][/color].[/ul]","Your backups, containing pupils, positions and affinities, should be:[ul]Under Windows in [color=#FFA726][url]%APPDATA%\\Clan de place[/url][/color],[/ul][ul]Under Linux in [color=#FFA726][url]~/.local/share/Clan de place[/url][/color].[/ul]"
A1_CLASSE_ELEVES,Renseignez la classe et la liste de vos élèves.,"In this tab, enter the division and the pupils’ list."
A1_QUESTION,La question posée devrait uniquement concerner les affinités des élèves pour travailler ensemble.,The poll question should only be about pupils’ affinities to study together.
A1_AFFINITES,"En cliquant dans une case du tableau, vous changez le lien : neutre, vert, orange, neutre.","By clicking in a cell of the table, you change the link : neutral, green, orange, neutral. "
A1_SOCIOGRAMME,"Déplacez les étiquettes pour avoir des liens positifs (verts) forts et des liens oranges les plus minces possibles. Il ne s’agit pas que de créer des binômes efficaces, mais aussi de préparer des relations apaisées avec les élèves placés devant ou derrière. Avec de la patience, vous devriez pouvoir placer les élèves à peu près comme dans votre salle de cours.","Move the labels around in order to get strong positive (green) links and as thin orange links as possible. It's not just about creating effective pairs, it's also about preparing for peaceful relationships with the pupils in front or behind. With a little patience, you should be able to place the students roughly as you would in your classroom."
A1_PLAN1,"Pour la première ouverture, les bureaux sont disposées par ordre alphabétique, puis selon la sauvegarde (n’oubliez pas), ou au même endroit que dans le sociogramme si vous en faites un. Vous pouvez déplacer les tables avec le clic-gauche ou les faire tourner avec le clic-droit.","On first opening, the desks are layed down in alphabetical order, then, according to the backup (don't forget it), or according to the sociogram were you to draw one. You can move desks with a left-click and rotate them with a right-click."
A1_PLAN2,Vous pouvez ajouter des tables vierges pour combler les trous.,You can add blank desks to fill in the gaps.
A1_PLAN3,"Vous pouvez capturer deux versions du plan: une dans le sens dans lequel vous regardez la classe de votre bureau (ex : appel, interrogation), une dans le sens dont vos élèves voient la classe (ex: pour projeter le plan).","You can capture two versions of the plan: one in the direction you look at the classroom from your desk (ex : to call the register or quiz the students), and one in the direction in which your students look at the classroom (ex : to screen it)."
A1_CAPTURE,"La capture d’image, enregistre un fichier .png sur fond blanc simple à imprimer ou à projeter.","Image capture saves a .png file against a white background, easy to print or screen."
A1_VIDEO,"La ronde des paires enregistre un série d’images dans un dossier représentant les permutations de vos binômes d’élève. Par exemple, pour avoir des paires différents à chaque TP et les projeter à l’entrée en classe.","The round-robin pairing saves a series of images in a folder representing the permutations of the pupils' pairs. For example, to have different pairs at each practical session and project them at the start of the class."
A2_AUTEUR," est développé par Sébastien Abilla, professeur de SVT, sur [i]son temps libre[/i]."," is developed by Sébastien Abilla, science teacher at a junior high school, in his [i]spare time[/i]."
A2_INSPIRATION,Partie sociogramme d'après une idée glanée sur le super site de [color=#00E676][url=http://www.stephanecote.org/2014/03/27/gestion-de-classe-le-post-it-qui-supporte-lautonomie/]Stéphane Côté[/url][/color].,Sociogram part based on an idea I picked up from [color=#00E676][url=http://www.stephanecote.org/2014/03/27/gestion-de-classe-le-post-it-qui-supporte-lautonomie/]Stéphane Côté[/url][/color]'s great website.
A2_CREDITS,"Fait sous [color=#00E676][url=https://godotengine.org/]Godot[/url][/color], icones: [color=#00E676][url=https://github.com/KDE/breeze-icons]Breeze Dark[/url][/color], shader :  [color=#00E676][url=https://godotshaders.com/shader/line2d-animation/]cpt_metal[/url][/color].","Made with [color=#00E676][url=https://godotengine.org/]Godot[/url][/color], icons: [color=#00E676][url=https://github.com/KDE/breeze-icons]Breeze Dark[/url][/color], shader :  [color=#00E676][url=https://godotshaders.com/shader/line2d-animation/]cpt_metal[/url][/color]."
A2_LICENCE,"[p]Copyright (C) 2025 Sébastien Abilla[/p][p] [/p][p]Ce logiciel est fourni « en l'état », sans aucune garantie explicite ou implicite.  L'auteur ne peut en aucun cas être tenu pour responsable de quelque préjudice que ce soit résultant de l'utilisation de ce logiciel.[/p][p] [/p][p]Il est permis à quiconque d'utiliser ce logiciel à toutes fins, y compris commerciales, de le modifier et de le redistribuer librement, sous réserve des restrictions suivantes :[/p][p] [/p][p]1. L'origine de ce logiciel ne doit pas être présentée de manière trompeuse ; vous ne devez pas prétendre que vous avez écrit le logiciel original. Si vous utilisez ce logiciel dans un produit, une mention dans la documentation du produit serait appréciée mais n'est pas obligatoire.[/p][p]2. Les versions dont le code source a été modifié doivent être clairement identifiées comme telles et ne doivent pas être présentées comme étant le logiciel original.[/p][p]3. Cet avertissement ne doit pas être supprimé ou modifié lors de la diffusion de toute version du logiciel.[/p]","[p]Copyright (C) 2025 Sébastien Abilla[/p][p] [/p][p]This software is provided 'as-is', without any express or implied warranty. In no event will the authors be held liable for any damages arising from the use of this software.[/p][p] [/p][p]Permission is granted to anyone to use this software for any purpose, including commercial applications, and to alter it and redistribute it freely, subject to the following restrictions:[/p][p] [/p][p]1. The origin of this software must not be misrepresented; you must not claim that you wrote the original software. If you use this software in a product, an acknowledgment in the product documentation would be appreciated but is not required.[/p][p]2. Altered source versions must be plainly marked as such, and must not be misrepresented as being the original software.[/p][p]3. This notice may not be removed or altered from any source distribution.[/p]"
